Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GBPJPY=X,GBPJPY=X,GBPJPY=X,GBPJPY=X,GBPJPY=X,GBPJPY=X
Datetime,,,,,,
2025-08-12 23:00:00+00:00,199.48899841308594,199.48899841308594,199.5240020751953,199.48300170898438,199.51400756835938,0
2025-08-12 23:05:00+00:00,199.4759979248047,199.4759979248047,199.51699829101562,199.47500610351562,199.48899841308594,0
2025-08-12 23:10:00+00:00,199.56199645996094,199.56199645996094,199.58399963378906,199.47500610351562,199.47500610351562,0
2025-08-12 23:15:00+00:00,199.54800415039062,199.54800415039062,199.57000732421875,199.52000427246094,199.55999755859375,0
2025-08-12 23:20:00+00:00,199.55299377441406,199.55299377441406,199.55999755859375,199.52999877929688,199.55499267578125,0
2025-08-12 23:25:00+00:00,199.5570068359375,199.5570068359375,199.58700561523438,199.53399658203125,199.55099487304688,0
2025-08-12 23:30:00+00:00,199.53399658203125,199.53399658203125,199.55799865722656,199.5290069580078,199.55799865722656,0
2025-08-12 23:35:00+00:00,199.5500030517578,199.5500030517578,199.55499267578125,199.53500366210938,199.5399932861328,0
2025-08-12 23:40:00+00:00,199.5330047607422,199.5330047607422,199.55599975585938,199.51199340820312,199.5449981689453,0
2025-08-12 23:45:00+00:00,199.56300354003906,199.56300354003906,199.56900024414062,199.52000427246094,199.52999877929688,0
2025-08-12 23:50:00+00:00,199.51100158691406,199.51100158691406,199.56300354003906,199.5050048828125,199.55799865722656,0
2025-08-12 23:55:00+00:00,199.55099487304688,199.55099487304688,199.55799865722656,199.5050048828125,199.50999450683594,0
2025-08-13 00:00:00+00:00,199.49400329589844,199.49400329589844,199.5919952392578,199.47300720214844,199.55599975585938,0
2025-08-13 00:05:00+00:00,199.59500122070312,199.59500122070312,199.64199829101562,199.4600067138672,199.49099731445312,0
2025-08-13 00:10:00+00:00,199.54600524902344,199.54600524902344,199.60699462890625,199.53399658203125,199.58599853515625,0
2025-08-13 00:15:00+00:00,199.5260009765625,199.5260009765625,199.59100341796875,199.51300048828125,199.55099487304688,0
2025-08-13 00:20:00+00:00,199.5019989013672,199.5019989013672,199.53399658203125,199.48199462890625,199.51400756835938,0
2025-08-13 00:25:00+00:00,199.45599365234375,199.45599365234375,199.5030059814453,199.4530029296875,199.4969940185547,0
2025-08-13 00:30:00+00:00,199.44400024414062,199.44400024414062,199.48399353027344,199.43899536132812,199.46299743652344,0
2025-08-13 00:35:00+00:00,199.4459991455078,199.4459991455078,199.46299743652344,199.42300415039062,199.4459991455078,0
2025-08-13 00:40:00+00:00,199.4530029296875,199.4530029296875,199.47300720214844,199.42300415039062,199.4459991455078,0
2025-08-13 00:45:00+00:00,199.5240020751953,199.5240020751953,199.55499267578125,199.4429931640625,199.4499969482422,0
2025-08-13 00:50:00+00:00,199.53500366210938,199.53500366210938,199.55099487304688,199.48399353027344,199.5240020751953,0
2025-08-13 00:55:00+00:00,199.56399536132812,199.56399536132812,199.58399963378906,199.5050048828125,199.53599548339844,0
2025-08-13 01:00:00+00:00,199.59100341796875,199.59100341796875,199.59100341796875,199.49899291992188,199.56300354003906,0
2025-08-13 01:05:00+00:00,199.65699768066406,199.65699768066406,199.68800354003906,199.58099365234375,199.58200073242188,0
2025-08-13 01:10:00+00:00,199.69500732421875,199.69500732421875,199.70700073242188,199.63600158691406,199.65499877929688,0
2025-08-13 01:15:00+00:00,199.69700622558594,199.69700622558594,199.7530059814453,199.68099975585938,199.6909942626953,0
2025-08-13 01:20:00+00:00,199.7010040283203,199.7010040283203,199.7310028076172,199.68899536132812,199.69900512695312,0
2025-08-13 01:25:00+00:00,199.70899963378906,199.70899963378906,199.73399353027344,199.65499877929688,199.70899963378906,0
2025-08-13 01:30:00+00:00,199.77000427246094,199.77000427246094,199.77999877929688,199.6999969482422,199.71299743652344,0
2025-08-13 01:35:00+00:00,199.77699279785156,199.77699279785156,199.77999877929688,199.73599243164062,199.77999877929688,0
2025-08-13 01:40:00+00:00,199.7899932861328,199.7899932861328,199.79600524902344,199.75399780273438,199.7779998779297,0
2025-08-13 01:45:00+00:00,199.8209991455078,199.8209991455078,199.84100341796875,199.75599670410156,199.78700256347656,0
2025-08-13 01:50:00+00:00,199.8699951171875,199.8699951171875,199.8820037841797,199.80999755859375,199.82000732421875,0
2025-08-13 01:55:00+00:00,199.85400390625,199.85400390625,199.89500427246094,199.8489990234375,199.87100219726562,0
2025-08-13 02:00:00+00:00,199.89300537109375,199.89300537109375,199.89999389648438,199.83399963378906,199.84800720214844,0
2025-08-13 02:05:00+00:00,199.89199829101562,199.89199829101562,199.906005859375,199.86900329589844,199.8939971923828,0
